cohort,epoch,patient_id,nfe,psnr_db,ssim,psnr_db_wt,ssim_wt,psnr_db_bg,ssim_bg,latent_mse,latent_l1,latent_cosine,gen_sec,decode_sec
UCSF-PDGM,3,UCSF-PDGM-0015,1,24.75795555114746,0.19660034775733948,20.81275177001953,0.9671622514724731,24.828907012939453,0.20445024967193604,0.8698027729988098,0.737671971321106,0.34718167781829834,0.047715166583657265,1.1349261840805411
UCSF-PDGM,3,UCSF-PDGM-0015,2,25.560894012451172,0.4693911075592041,19.58353042602539,0.9576563239097595,25.703954696655273,0.47830072045326233,1.060793399810791,0.8148893117904663,0.2259404957294464,0.09382420126348734,1.1008240235969424
UCSF-PDGM,3,UCSF-PDGM-0015,5,26.0382080078125,0.886949360370636,21.55693244934082,0.9776769280433655,26.12493324279785,0.8964461088180542,1.337260365486145,0.9162034392356873,0.17042049765586853,0.2245073216035962,1.0886594634503126
UCSF-PDGM,3,UCSF-PDGM-0015,10,26.179677963256836,0.8845019340515137,21.660682678222656,0.9814292192459106,26.267593383789062,0.8944578766822815,1.488903284072876,0.9669126272201538,0.15104493498802185,0.43475949577987194,1.1697610411792994
UCSF-PDGM,3,UCSF-PDGM-0015,20,26.004331588745117,0.8816256523132324,19.837480545043945,0.9743135571479797,26.156078338623047,0.8917505145072937,1.5891979932785034,0.998675525188446,0.14115990698337555,0.8611272359266877,1.14372250251472
BraTS-GLI,3,BraTS-GLI-00631-000,1,23.86976432800293,0.20261871814727783,16.125728607177734,0.9765269756317139,24.220373153686523,0.21494576334953308,0.8590815663337708,0.731899082660675,0.38209518790245056,0.047140562906861305,1.052883586846292
BraTS-GLI,3,BraTS-GLI-00631-000,2,24.046947479248047,0.5363712310791016,15.5225191116333,0.9649360179901123,24.484832763671875,0.548788845539093,1.0602411031723022,0.8130369782447815,0.2478790581226349,0.09530471451580524,1.163627847097814
BraTS-GLI,3,BraTS-GLI-00631-000,5,23.24423599243164,0.8728414177894592,14.85796070098877,0.9443239569664001,23.665369033813477,0.8844236731529236,1.3369910717010498,0.9143280982971191,0.18416768312454224,0.22112236451357603,1.175259593874216
BraTS-GLI,3,BraTS-GLI-00631-000,10,22.332935333251953,0.8659849166870117,14.417434692382812,0.9244324564933777,22.701255798339844,0.8769373297691345,1.5058283805847168,0.9713249802589417,0.16282324492931366,0.434417518787086,1.1473452765494585
BraTS-GLI,3,BraTS-GLI-00631-000,20,22.330917358398438,0.8626749515533447,14.650012016296387,0.9332596659660339,22.675193786621094,0.8742369413375854,1.5921624898910522,0.9991970658302307,0.15406915545463562,0.8611807907000184,1.1591434152796865
BraTS-GLI,3,BraTS-GLI-00687-000,1,25.19644546508789,0.2004891186952591,17.91729164123535,0.9916216731071472,25.417949676513672,0.2084733247756958,0.8661592602729797,0.7352683544158936,0.3756755292415619,0.04684228636324406,1.0823921207338572
BraTS-GLI,3,BraTS-GLI-00687-000,2,26.544292449951172,0.4473946690559387,17.78975486755371,0.9903668761253357,26.880395889282227,0.4561506509780884,1.0569119453430176,0.8125887513160706,0.24816495180130005,0.0946007827296853,1.232514533214271
BraTS-GLI,3,BraTS-GLI-00687-000,5,25.820358276367188,0.8954761624336243,17.137147903442383,0.9850115180015564,26.14989471435547,0.9043832421302795,1.3380460739135742,0.9150885939598083,0.1848619431257248,0.22209137119352818,1.1272067921236157
BraTS-GLI,3,BraTS-GLI-00687-000,10,25.54456329345703,0.8922768831253052,17.264158248901367,0.9813493490219116,25.83916664123535,0.9008497595787048,1.480110764503479,0.9626327157020569,0.16398926079273224,0.43959434516727924,1.090142953209579
